cluster_id,panel_id,size,representative_rel_path
C45862,P2,20,P2-LBS&LA반/A1_B1_P2_2022-07-19_IR2_00041.jpg
C51046,P3,20,P3-MOF반/A3_B1_P3_2022-07-01_IR3_00331.jpg
C51117,P3,20,P3-MOF반/A3_B1_P3_2022-07-01_IR3_00468.jpg
C53986,P5,20,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_00151.jpg
C54919,P5,20,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_04645.jpg
C77185,P9,20,P9-MCCB반/A1_B1_P9_2022-07-27_IR2_00136.jpg
C91023,P9,20,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02276.jpg
C91189,P9,20,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02637.jpg
C91487,P9,20,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03561.jpg
C92196,P9,20,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05384.jpg
C96746,P9,20,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_03211.jpg
C18804,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00634.jpg
C21672,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01271.jpg
C21701,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_01303.jpg
C23628,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_5_00903.jpg
C25074,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_6_01274.jpg
C27305,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_00409.jpg
C30701,P1,19,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_06569.jpg
C34657,P1,19,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_00791.jpg
C36996,P1,19,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR3_01311.jpg
C43463,P1,19,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01478.jpg
C22,P1,19,P1-TR반/A3_B4_P1_2022-07-15_IR2_08323.jpg
C255,P1,19,P1-TR반/A3_B4_P1_2022-07-15_IR2_09268.jpg
C100262,P10,19,P10-ACB&MCCB반/A1_B1_P10_2022-07-25_IR2_00299.jpg
C50439,P3,19,P3-MOF반/A2_B1_P3_2022-07-11_IR3_01520.jpg
C56678,P5,19,P5-PF&PT반/A1_B2_P5_2022-07-19_IR3_02450.jpg
C62674,P6,19,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00556.jpg
C66863,P6,19,P6-VCB반/A3_B3_P6_2022-07-15_IR2_02451.jpg
C81451,P9,19,P9-MCCB반/A1_B3_P9_2022-07-19_IR2_00326.jpg
C90397,P9,19,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01008.jpg
C91199,P9,19,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02675.jpg
C91373,P9,19,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03255.jpg
C92737,P9,19,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_07180.jpg
C95775,P9,19,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_00428.jpg
C96627,P9,19,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_02906.jpg
C97082,P9,19,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_04110.jpg
C6651,P1,18,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_01077.jpg
C9437,P1,18,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00315.jpg
C11450,P1,18,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_00372.jpg
C17602,P1,18,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_04000.jpg
C22158,P1,18,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_3_02072.jpg
C22711,P1,18,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_4_00506.jpg
C23193,P1,18,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_4_01284.jpg
C28149,P1,18,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_01848.jpg
C28163,P1,18,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_01875.jpg
C31293,P1,18,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07711.jpg
C34243,P1,18,P1-TR반/New Folder With Items/A3_B1_P1_2022-07-01_IR3_02093.jpg
