panel_id,camera,rel_path,exists,status,raw_shape,visual_shape,model,temp_min,temp_max,error
P1,IR1,P1-TR반/New Folder With Items/A2_B1_P1_2022-06-03_IR1_00015.jpg,True,OK,320x240,640x480,FLIR E8,29.7,96.7,
P1,IR1,P1-TR반/New Folder With Items/A1_B3_P1_2022-05-24_IR1_00107.jpg,True,OK,320x240,640x480,FLIR E8,26.7,74.4,
P1,IR1,P1-TR반/New Folder With Items/A1_B2_P1_2022-05-12_IR1_00079.jpg,True,OK,320x240,640x480,FLIR E8,23.2,31.4,
P1,IR1,P1-TR반/New Folder With Items/A1_B3_P1_2022-05-24_IR1_00050.jpg,True,OK,320x240,640x480,FLIR E8,23.4,71.5,
P1,IR1,P1-TR반/New Folder With Items/A2_B1_P1_2022-06-03_IR1_00109.jpg,True,OK,320x240,640x480,FLIR E8,29.0,81.4,
P1,IR1,P1-TR반/New Folder With Items/A3_B3_P1_2022-06-17_IR1_00091.jpg,True,OK,320x240,640x480,FLIR E8,29.0,90.5,
P1,IR1,P1-TR반/New Folder With Items/A3_B2_P1_2022-06-17_IR1_00062.jpg,True,OK,320x240,640x480,FLIR E8,29.3,76.5,
P1,IR1,P1-TR반/New Folder With Items/A3_B3_P1_2022-06-17_IR1_00049.jpg,True,OK,320x240,640x480,FLIR E8,28.1,92.3,
P1,IR1,P1-TR반/New Folder With Items/A1_B2_P1_2022-05-12_IR1_00093.jpg,True,OK,320x240,640x480,FLIR E8,21.4,62.3,
P1,IR1,P1-TR반/New Folder With Items/A1_B1_P1_2022-05-12_IR1_00030.jpg,True,OK,320x240,640x480,FLIR E8,20.6,62.8,
P1,IR2,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_7_02652.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01930.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_5_00520.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_4_00946.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01439.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_03061.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_02303.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_02861.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00449.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR2,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_02862.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_01589.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR3_01843.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/A3_B5_P1_2022-07-01_IR3_02596.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_01948.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_06980.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_03436.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_03327.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_03608.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_04050.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P1,IR3,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_05265.jpg,True,FAIL,,,,,,ValueError: FLIR APP1 세그먼트 없음 (방사 데이터 미포함 파일)
P10,IR1,P10-ACB&MCCB반/A1_B1_P10_2022-05-12_IR1_00024.jpg,True,OK,320x240,640x480,FLIR E8,19.5,36.3,
P10,IR1,P10-ACB&MCCB반/A1_B1_P10_2022-05-12_IR1_00015.jpg,True,OK,320x240,640x480,FLIR E8,20.2,37.8,
P10,IR1,P10-ACB&MCCB반/A1_B1_P10_2022-05-12_IR1_00005.jpg,True,OK,320x240,640x480,FLIR E8,20.1,35.6,
